Language,Threads,Tasks,Repetition,Energy_Joules,Peak_Memory_KB_RSS,Real_Time_Seconds
c_zig_cc,32,10000,3,52.17,1024,.24000000000000000000
c_zig_cc,32,10000,4,51.54,1068,.24000000000000000000
c_zig_cc,32,10000,5,52.11,1072,.24000000000000000000
c_zig_cc,32,10000,6,51.12,1024,.24000000000000000000
c_zig_cc,32,10000,7,51.55,1064,.24000000000000000000
c_zig_cc,32,10000,8,50.84,0,.24000000000000000000
c_zig_cc,32,10000,9,51.42,0,.24000000000000000000
c_zig_cc,32,10000,10,51.29,1072,.24000000000000000000
c_zig_cc,64,10000,1,83.47,0,.25000000000000000000
c_zig_cc,64,10000,2,73.36,1060,.25000000000000000000
c_zig_cc,64,10000,3,73.37,1080,.25000000000000000000
c_zig_cc,64,10000,4,73.46,1024,.25000000000000000000
c_zig_cc,64,10000,5,73.63,1068,.25000000000000000000
c_zig_cc,64,10000,6,73.54,0,.26000000000000000000
c_zig_cc,64,10000,7,73.37,1024,.25000000000000000000
c_zig_cc,64,10000,8,73.54,1056,.25000000000000000000
c_zig_cc,64,10000,9,73.60,1032,.25000000000000000000
c_zig_cc,64,10000,10,73.44,0,.25000000000000000000
c_gcc,2,100,1,509.45,1048,4.76000000000000000000
c_gcc,2,100,2,499.90,1048,4.76000000000000000000
c_gcc,2,100,3,499.20,1032,4.76000000000000000000
c_gcc,2,100,4,499.13,0,4.76000000000000000000
c_gcc,2,100,5,501.85,1048,4.75000000000000000000
c_gcc,2,100,6,501.44,1048,4.75000000000000000000
c_gcc,2,100,7,499.78,1044,4.77000000000000000000
c_gcc,2,100,8,501.47,1036,4.74000000000000000000
c_gcc,2,100,9,500.78,1036,4.75000000000000000000
c_gcc,2,100,10,498.76,0,4.74000000000000000000
c_gcc,4,100,1,291.28,1040,2.39000000000000000000
c_gcc,4,100,2,289.18,1080,2.39000000000000000000
c_gcc,4,100,3,288.87,1080,2.38000000000000000000
c_gcc,4,100,4,288.98,1056,2.37000000000000000000
c_gcc,4,100,5,289.31,1028,2.38000000000000000000
c_gcc,4,100,6,288.75,1028,2.39000000000000000000
c_gcc,4,100,7,288.57,1080,2.39000000000000000000
c_gcc,4,100,8,288.82,1064,2.38000000000000000000
c_gcc,4,100,9,288.62,1028,2.39000000000000000000
c_gcc,4,100,10,289.00,1052,2.38000000000000000000
c_gcc,8,100,1,172.04,1048,1.40000000000000000000
c_gcc,8,100,2,170.46,0,1.40000000000000000000
c_gcc,8,100,3,170.76,1048,1.40000000000000000000
c_gcc,8,100,4,170.29,1052,1.40000000000000000000
c_gcc,8,100,5,170.40,1048,1.40000000000000000000
c_gcc,8,100,6,169.99,1080,1.40000000000000000000
c_gcc,8,100,7,170.30,0,1.40000000000000000000
c_gcc,8,100,8,170.27,1052,1.40000000000000000000
c_gcc,8,100,9,170.16,1048,1.40000000000000000000
c_gcc,8,100,10,169.92,1084,1.40000000000000000000
